OBJECTID,SURVEYJOBIDPK,SURVEYAGENCY,CHANNELAREAIDFK,SDSFEATURENAME,SOURCEPROJECTION,SURVEYDATEUPLOADED,SOURCEDATALOCATION,SURVEYDATEEND,SURVEYDATESTART,SURVEYTYPE,PROJECTEDAREA,Hi-Res?
547824,WC_50_BFC_20180813_CS,CENAO,CENAO_WC_50_BFC,BRADFORD BAY AND FINNEY CREEK,Virginia South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAO/WC_50_BFC_20180813_CS.ZIP,2018-08-13,2018-08-13,CS,4402128.85095701,No
548131,JR_09_RDT_20180828_CS,CENAO,CENAO_JR_09_RDT,RICHMOND DEEPWATER TERMINAL,Virginia South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAO/JR_09_RDT_20180828_CS.ZIP,2018-08-28,2018-08-28,CS,3075618.19993598,No
548132,JR_03_GHC_20180823_CS,CENAO,CENAO_JR_03_GHC,GOOSE HILL CHANNEL,Virginia South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAO/JR_03_GHC_20180823_CS.ZIP,2018-08-23,2018-08-23,CS,25413489.0339028,No
548129,CH_01_CHI_20180905_CS,CENAO,CENAO_CH_01_CHI,CHINCOTEAGUE INLET,Virginia South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAO/CH_01_CHI_20180905_CS.ZIP,2018-09-05,2018-09-05,CS,1370730.48405103,No
548130,CH_01_CHI_20180905_CS_RECON,CENAO,CENAO_CH_01_CHI,CHINCOTEAGUE INLET,Virginia South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAO/CH_01_CHI_20180905_CS_RECON.ZIP,2018-09-05,2018-09-05,CS,4394816.37146582,No
548133,SW_07_SWP_20180921_CS,CEMVN,CEMVN_SW_07_SWP,SOUTHWEST PASS - SHEET 7,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_07_SWP_20180921_CS.ZIP,2018-09-21,2018-09-21,CS,17307638.128842,Ovrd
548136,SW_12_SWP_20180920_CS,CEMVN,CEMVN_SW_12_SWP,SOUTHWEST PASS - SHEET 12,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_12_SWP_20180920_CS.ZIP,2018-09-20,2018-09-20,CS,10292592.0837027,Ovrd
547822,BA_01_SBB_20130704_CS,CENAO,CENAO_BA_01_SBB,SANDBRIDGE BEACH NOURISHMENT PROJECT BOROW AREA,Virginia South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAO/BA_01_SBB_20130704_CS.ZIP,2013-07-04,2013-07-04,CS,254586277.342677,No
548137,SW_11_SWP_20180920_CS,CEMVN,CEMVN_SW_11_SWP,SOUTHWEST PASS - SHEET 11,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_11_SWP_20180920_CS.ZIP,2018-09-20,2018-09-20,CS,14395476.5074916,Ovrd
548138,SW_10_SWP_20180920_CS,CEMVN,CEMVN_SW_10_SWP,SOUTHWEST PASS - SHEET 10,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_10_SWP_20180920_CS.ZIP,2018-09-20,2018-09-20,CS,13747779.2739448,Ovrd
